Vertical,Category,Business Type,Primary GBP Category,Secondary GBP Categories
Technology-Enabled Services,"Data, Analytics & Compliance",Environmental data & reporting,Environmental consultant,"Environmental engineer, Environmental organization, Data recovery service"
Technology-Enabled Services,"Data, Analytics & Compliance",GIS & mapping services,Mapping service,"Surveyor, Engineering consultant, Environmental consultant"
Technology-Enabled Services,Digital Marketing & Commerce,Digital marketing agencies (niche),Marketing agency,"Advertising agency, Internet marketing service, Design agency, E commerce agency"
Technology-Enabled Services,Digital Marketing & Commerce,E-commerce enablement services,E-commerce service,"E commerce agency, Marketing agency, Computer consultant, Advertising agency"
Technology-Enabled Services,Digital Marketing & Commerce,SEO / content marketing platforms,Internet marketing service,"Marketing agency, Advertising agency, E commerce agency"
Technology-Enabled Services,Managed Services & IT,AV & unified communications,Audio visual equipment supplier,"Audio visual consultant, Audio visual equipment rental service, Electronics company, Telecommunications service provider"
Technology-Enabled Services,Managed Services & IT,Cloud migration & managed cloud,Computer support and services,"Computer consultant, Computer networking center, Data recovery service, Computer service"
Technology-Enabled Services,Managed Services & IT,Cybersecurity services,Computer security service,"Computer support and services, Computer consultant, Computer networking center"
Technology-Enabled Services,Managed Services & IT,Managed IT / MSP,Computer support and services,"Computer repair service, Computer networking center, Computer consultant, Computer service"
Technology-Enabled Services,Tech-Enabled BPO,Claims processing & administration,Insurance agency,"Billing service, BPO company, Business administration service"
Technology-Enabled Services,Tech-Enabled BPO,Document management & imaging,Data entry service,"Blueprint service, Digital printing service, Document preparation service, BPO company"
Technology-Enabled Services,Tech-Enabled BPO,Outsourced finance & accounting (F&A),Accounting firm,"Bookkeeping service, BPO company, Business administration service, Payroll service"
Technology-Enabled Services,Tech-Enabled BPO,Revenue cycle management (RCM),Medical billing service,"Billing service, BPO company, Accountant, Financial consultant"
